Make,Model,Year of manufacture,Colour,Condition,Mileage,Engine Size,Bought Condition,Price,Registered state
Toyota,Corolla,2005.0,Gray,Nigerian Used,206286.0,1800.0,Imported,3375000.0,unknown
Toyota,Camry,2010.0,Black,Nigerian Used,170739.0,2500.0,Imported,3375000.0,abuja
Mitsubishi,Pajero,2018.0,Brown,Nigerian Used,76239.0,3200.0,Imported,17850000.0,lagos
Toyota,Corolla,2005.0,Blue,Nigerian Used,179723.0,1800.0,Imported,3037500.0,unknown
Honda,Accord,2010.0,Green,Nigerian Used,139920.0,3000.0,Registered,2310000.0,lagos
Toyota,Hilux,2012.0,White,Nigerian Used,255584.0,2700.0,Brand new,6750000.0,lagos
Toyota,Camry,2004.0,Green,Nigerian Used,150698.0,1800.0,Registered,2025000.0,unknown
Toyota,Highlander,2010.0,Red,Nigerian Used,121802.0,3500.0,Registered,5962500.0,lagos
Toyota,Sienna,2002.0,Red,Nigerian Used,192053.0,3000.0,Registered,2812500.0,benue
Volvo,XC90,2010.0,Black,Nigerian Used,271712.0,3200.0,Imported,5175000.0,lagos
Honda,Odyssey,2005.0,Blue,Nigerian Used,235231.0,3800.0,Registered,2025000.0,lagos
Kia,Sportage,2013.0,Black,Nigerian Used,123212.0,2000.0,Brand new,4275000.0,unknown
Toyota,Sienna,2005.0,Gold,Foreign Used,258077.0,3300.0,Imported,3375000.0,unknown
Mitsubishi,L200,2012.0,White,Nigerian Used,151372.0,1834.0,Registered,3262500.0,lagos
Toyota,Camry,2009.0,Gray,Nigerian Used,381651.0,2500.0,Registered,4050000.0,lagos
Lexus,ES,2002.0,Purple,Nigerian Used,170944.0,3000.0,Imported,2204998.0,lagos
Acura,TSX,2004.0,Silver,Nigerian Used,241819.0,2400.0,Imported,2025000.0,lagos
Toyota,Corolla,2007.0,Silver,Nigerian Used,482800.0,1800.0,Registered,2964375.0,lagos
Nissan,Rogue,2009.0,Silver,Nigerian Used,148844.0,2500.0,Imported,4500000.0,unknown
Toyota,Highlander,2002.0,Silver,Nigerian Used,168376.0,3000.0,Registered,4500000.0,unknown
Toyota,RAV4,2012.0,Blue,Nigerian Used,145173.0,3500.0,Imported,7650000.0,unknown
Mercedes-Benz,M Class,2011.0,White,Nigerian Used,297069.0,3500.0,Imported,12150000.0,lagos
Toyota,Avensis,2007.0,Blue,Nigerian Used,312989.0,2000.0,Registered,1536187.0,lagos
Hyundai,Sonata,2014.0,Blue,Nigerian Used,178892.0,2500.0,Brand new,4500000.0,abuja
Nissan,Frontier,2012.0,Black,Foreign Used,504691.0,4000.0,Imported,9000000.0,unknown
Toyota,Camry,2008.0,Red,Nigerian Used,244919.0,2400.0,Registered,2812500.0,abuja
Peugeot,206,2003.0,Green,Nigerian Used,99999.0,2000.0,Registered,1350000.0,abuja
Honda,Odyssey,2000.0,Gray,Nigerian Used,183191.0,3500.0,Registered,2587500.0,unknown
Toyota,Corolla,2006.0,Black,Nigerian Used,229184.0,1800.0,Imported,2812500.0,abuja
Mercedes-Benz,E350,2010.0,Gray,Nigerian Used,229228.0,3500.0,Registered,7312500.0,abuja
Toyota,Corolla,2008.0,Gray,Nigerian Used,394970.0,1800.0,Registered,2362500.0,lagos
Toyota,Camry,2006.0,Silver,Nigerian Used,239651.0,2400.0,Registered,2475000.0,unknown
Toyota,Camry,2009.0,White,Nigerian Used,239392.0,2500.0,Imported,3150000.0,abuja
Toyota,Camry,2008.0,Black,Nigerian Used,275211.0,2400.0,Registered,3825000.0,abuja
Honda,CR-V,2008.0,Black,Nigerian Used,107789.0,2400.0,Imported,3937500.0,lagos
Lexus,RX 330,2006.0,Silver,Nigerian Used,183875.0,3000.0,Registered,5175000.0,abuja
Lexus,ES,2006.0,Silver,Nigerian Used,148685.0,3300.0,Registered,2970000.0,lagos
Toyota,Highlander,2008.0,Gray,Nigerian Used,197205.0,3500.0,Imported,5625000.0,abuja
Toyota,Highlander,2004.0,Red,Nigerian Used,361879.0,3300.0,Imported,3037500.0,unknown
Honda,Accord,2010.0,Gray,Nigerian Used,189708.0,3500.0,Imported,2362500.0,unknown
Toyota,Sienna,2004.0,Silver,Nigerian Used,231037.0,3300.0,Imported,3825000.0,lagos
Toyota,4-Runner,2006.0,Black,Nigerian Used,179724.0,4000.0,Registered,3768750.0,abuja
Toyota,Camry,2008.0,Black,Nigerian Used,111697.0,2400.0,Registered,2782500.0,lagos
Lexus,RX,2010.0,Black,Nigerian Used,73830.0,3500.0,Imported,8534531.0,unknown
Toyota,Camry,2008.0,Gray,Nigerian Used,157380.0,2400.0,Imported,2250000.0,lagos
Toyota,Camry,2005.0,Red,Nigerian Used,409936.0,3000.0,Imported,2137500.0,imo
Toyota,Camry,2006.0,Black,Nigerian Used,250166.0,2400.0,Registered,4275000.0,abuja
Toyota,Sienna,2011.0,Gray,Foreign Used,121596.0,3500.0,Imported,8325000.0,unknown
Toyota,Highlander,2015.0,Gray,Nigerian Used,100303.0,3500.0,Registered,18562500.0,unknown
Hyundai,Azera,2013.0,Brown,Nigerian Used,160932.0,3000.0,Imported,5775000.0,abuja
Mazda,Tribute,2001.0,Silver,Nigerian Used,391179.0,3000.0,Imported,1856250.0,unknown
Mazda,CX-7,2010.0,Gray,Foreign Used,304984.0,2300.0,Imported,4275000.0,unknown
Toyota,Corolla,2012.0,Gray,Nigerian Used,355887.0,1800.0,Registered,3990000.0,abuja
Toyota,Camry,2010.0,Black,Nigerian Used,44431.0,2500.0,Registered,3825000.0,abuja
Toyota,Corolla,2010.0,Black,Nigerian Used,206133.0,1800.0,Brand new,4160000.0,lagos
Mercedes-Benz,CLK,2008.0,Red,Foreign Used,222974.0,3500.0,Imported,4500000.0,unknown
